xml_filename,image_filename,defect_index,defect_class,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,defect_area_px,bbox_area_px,area_ratio,bbox_fill_ratio,perimeter,length_px,width_px,aspect_ratio,circularity,compactness,eccentricity,orientation,solidity,extent,equivalent_diameter,connected_components_count,mean_intensity,std_intensity,skewness,kurtosis,min_intensity,max_intensity,intensity_range,local_contrast,glcm_contrast,glcm_correlation,glcm_energy,glcm_homogeneity,lbp_mean,lbp_std
crazing_1.xml,crazing_1.jpg,0,crazing,2.0,2.0,193.0,194.0,18671.0,36672.0,0.466775,0.509135034904014,2634.964632153511,192.0,191.0,1.0052356020942408,0.033793086691399306,371.86217196186,0.6802539608977943,0.45400778921123314,0.6141710489897592,0.509135034904014,154.18383683042208,24.0,179.78591918945312,21.110599517822266,0.4755273759365082,0.33654165267944336,108.0,255.0,147.0,0.11095757689247464,9.114750157663337,0.6384207017348504,0.09276357816137604,0.34197896421471685,4.818649242140218,3.103795495890637
crazing_10.xml,crazing_10.jpg,0,crazing,60.0,20.0,194.0,69.0,3671.0,6566.0,0.091775,0.5590922936338715,428.1248902082443,134.0,49.0,2.7346938775510203,0.2516826590135416,49.92942566489274,0.7564430058753142,1.5360919609258774,0.8762117822520508,0.5590922936338715,68.36711467308521,5.0,106.25660705566406,17.086463928222656,-0.08112587779760361,-0.28676652908325195,54.0,160.0,106.0,0.13736618963707142,6.722044103311356,0.8310425452747575,0.0881025352528485,0.3892901684215592,5.091800599291746,3.054577694521064
crazing_10.xml,crazing_10.jpg,1,crazing,9.0,84.0,197.0,198.0,13006.0,21432.0,0.32515,0.6068495707353491,960.918827176094,188.0,114.0,1.6491228070175439,0.17700282938141998,70.99530927429495,0.39309742855000995,-1.3589876269484262,0.8567626586597517,0.6068495707353491,128.6847058465983,11.0,113.28009796142578,21.212404251098633,-0.4974244236946106,0.3860929012298584,24.0,182.0,158.0,0.13426228300471302,6.722044103311356,0.8310425452747575,0.0881025352528485,0.3892901684215592,5.024219590958019,3.003424295493084
crazing_100.xml,crazing_100.jpg,0,crazing,1.0,10.0,108.0,121.0,5206.0,11877.0,0.13015,0.43832617664393364,1328.0386646986008,111.0,107.0,1.0373831775700935,0.03709305377550947,338.77961869658907,0.7553861527918576,-1.4857537595233012,0.6280788177339901,0.43832617664393364,81.41550877990788,21.0,160.82308959960938,18.00558090209961,0.5539878010749817,0.7204790115356445,102.0,250.0,148.0,0.08671028134322425,7.4519624146996755,0.6930333769858539,0.09790067973988188,0.37237703152954327,4.794660007683442,3.150943719143348
crazing_100.xml,crazing_100.jpg,1,crazing,35.0,1.0,200.0,83.0,5458.0,13530.0,0.13645,0.40339985218033997,1064.0731549263,165.0,82.0,2.0121951219512195,0.06057597624552846,207.44809069893913,0.677600075033024,-0.2063785627452696,0.7567084078711985,0.40339985218033997,83.36271009968736,21.0,112.09197235107422,19.07269287109375,-0.32545992732048035,0.11428403854370117,41.0,175.0,134.0,0.12003013387238737,7.4519624146996755,0.6930333769858539,0.09790067973988188,0.37237703152954327,4.98919017955295,2.9068966344450646
crazing_100.xml,crazing_100.jpg,2,crazing,120.0,109.0,196.0,198.0,3622.0,6764.0,0.09055,0.5354819633353045,597.1787127256393,89.0,76.0,1.1710526315789473,0.12762909020680746,98.46008142812029,0.912255056554136,-0.045967519268758555,0.8814729574223246,0.5354819633353045,67.90930445108947,11.0,106.6689682006836,15.950122833251953,-0.1292010396718979,0.0756223201751709,49.0,157.0,108.0,0.14093310529034359,7.4519624146996755,0.6930333769858539,0.09790067973988188,0.37237703152954327,5.086140254003313,3.014831927626525
crazing_100.xml,crazing_100.jpg,3,crazing,8.0,112.0,164.0,190.0,5649.0,12168.0,0.141225,0.46425049309664695,1211.6122584342957,156.0,78.0,2.0,0.04835641782740612,259.86975832682856,0.8064187979386213,-1.5562911907985981,0.5165138519175786,0.46425049309664695,84.80878603192558,18.0,163.74172973632812,18.374914169311523,0.31728002429008484,0.23003888130187988,106.0,255.0,149.0,0.0986088150152317,7.4519624146996755,0.6930333769858539,0.09790067973988188,0.37237703152954327,4.792529651265711,3.124796888461332
crazing_101.xml,crazing_101.jpg,0,crazing,40.0,12.0,187.0,152.0,11582.0,20580.0,0.28955,0.562779397473275,2082.312831878662,147.0,140.0,1.05,0.03356614558093416,374.37633654002184,0.7349244596925351,0.878061817465372,0.5864226135310473,0.562779397473275,121.43582835029642,20.0,131.8810272216797,17.33431625366211,-0.26855432987213135,0.4917581081390381,41.0,197.0,156.0,0.0946068013893453,8.339210941928247,0.5472998175066628,0.10459104959755212,0.35065568953352133,5.078311172509066,2.9481499217632634
crazing_102.xml,crazing_102.jpg,0,crazing,2.0,2.0,144.0,153.0,6727.0,21442.0,0.168175,0.31373006249417035,688.2497801780701,151.0,142.0,1.0633802816901408,0.17845927692523517,70.41590009144667,0.9445757256299541,0.040645387892111855,0.7025766090552433,0.31373006249417035,92.54773048234861,5.0,147.78756713867188,23.135009765625,0.5944212675094604,0.33330297470092773,80.0,253.0,173.0,0.2602297562123649,4.119029500215802,0.9143601650421614,0.10172609454800242,0.47317873486859796,4.919131856696893,3.099269533479465
crazing_102.xml,crazing_102.jpg,1,crazing,150.0,85.0,199.0,178.0,2462.0,4557.0,0.06155,0.5402677199912223,470.89444231987,93.0,49.0,1.8979591836734695,0.13952459902863273,90.06562786666993,0.9413438735961712,0.054265698977722106,0.7659182922340817,0.5402677199912223,55.98853238957037,6.0,42.485782623291016,8.7825288772583,-0.08656740933656693,0.26955509185791016,14.0,75.0,61.0,0.40612519427757804,4.119029500215802,0.9143601650421614,0.10172609454800242,0.47317873486859796,5.129569455727051,2.925674697999532
